Language/Topic,Name,Course/Project,Link,University/Company/YouTube Page,Ratings,Level,Reviews,Enrolled Students,Payment,Views,Platform
SQL,Learn SQL Basics for Data Science,SPECIALIZATION,https://www.coursera.org/specializations/learn-sql-basics-data-science,University of California Davis,4.6,Beginner,7781,NA,P,NA,Coursera
SQL,IBM Data Science,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/ibm-data-science,IBM,4.6,Beginner,64437,NA,P,NA,Coursera
SQL,Excel to MySQL: Analytic Techniques for Business,SPECIALIZATION,https://www.coursera.org/specializations/excel-mysql,Duke University,4.6,Beginner,12876,NA,P,NA,Coursera
SQL,SQL for Data Science,COURSE,https://www.coursera.org/learn/sql-for-data-science,University of California Davis,4.6,Beginner,7537,NA,P,NA,Coursera
SQL,Introduction to Structured Query Language (SQL),COURSE,https://www.coursera.org/learn/intro-sql,University of Michigan,4.8,Intermediate,3361,NA,P,NA,Coursera
SQL,IBM Data Analyst,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/ibm-data-analyst,IBM,4.6,Beginner,29222,NA,P,NA,Coursera
SQL,Databases and SQL for Data Science,COURSE,https://www.coursera.org/learn/sql-data-science,IBM,4.7,Beginner,12146,NA,P,NA,Coursera
SQL,Modern Big Data Analysis with SQL,SPECIALIZATION,https://www.coursera.org/specializations/cloudera-big-data-analysis-sql,Cloudera,4.8,Beginner,752,NA,P,NA,Coursera
SQL,Python for Everybody,SPECIALIZATION,https://www.coursera.org/specializations/python,University of Michigan,4.8,Beginner,199756,NA,P,NA,Coursera
SQL,Data Warehousing for Business Intelligence,SPECIALIZATION,https://www.coursera.org/specializations/data-warehousing,University of Colorado System,4.5,Advanced,2731,NA,P,NA,Coursera
SQL,Advanced Business Analytics,SPECIALIZATION,https://www.coursera.org/specializations/data-analytics-business,University of Colorado Boulder,4.6,Intermediate,3490,NA,P,NA,Coursera
SQL,Introduction to Data Science,SPECIALIZATION,https://www.coursera.org/specializations/introduction-data-science,IBM,4.6,Beginner,49436,NA,P,NA,Coursera
SQL,IBM Cybersecurity Analyst,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/ibm-cybersecurity-analyst,IBM,4.5,Beginner,6429,NA,P,NA,Coursera
SQL,SQL Tutorial - Full Database Course for Beginners,PLAYLIST,https://www.youtube.com/watch?v=HXV3zeQKqGY,freeCodeCamp.org,NA,NA,NA,NA,u,5M ,YouTube
SQL,"Big Data Analysis: Hive, Spark SQL, DataFrames and GraphFrames",COURSE,https://www.coursera.org/learn/big-data-analysis,Yandex,4,Advanced,174,NA,P,NA,Coursera
SQL,What is SQL? [in 4 minutes for beginners],PLAYLIST,https://www.youtube.com/watch?v=27axs9dO7AE,Danielle Th�,NA,NA,NA,NA,u,517k,YouTube
SQL,Python MySQL Tutorial - Setup & Basic Queries (w/ MySQL Connector),PLAYLIST,https://www.youtube.com/watch?v=3vsC05rxZ8c,Tech With Tim,NA,NA,NA,NA,u,46k,YouTube
SQL,SQL Tutorials,BLOG,http://sqltutorials.blogspot.com/,NA,NA,NA,NA,NA,u,NA,sqltutorials
SQL,SQL Tutorials,BLOG,https://www.w3schools.com/sql/,W3Schools,NA,NA,NA,NA,u,NA,w3schools.
Python,Python for Everybody,SPECIALIZATION,https://www.coursera.org/specializations/python,University of Michigan,4.8,Beginner,199559,2.1M students,P,NA,Coursera
Python,Google IT Automation with Python,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/google-it-automation,Google,4.7,Beginner,15004,280K students,P,NA,Coursera
Python,Python 3 Programming,SPECIALIZATION,https://www.coursera.org/specializations/python-3-programming,University of Michigan,4.7,Beginner,13262,240k students,P,NA,Coursera
Python, Applied Data Science with Python,SPECIALIZATION,https://www.coursera.org/specializations/data-science-python,University of Michigan,4.5,Intermediate,27110,660k students,P,NA,Coursera
Python, IBM Data Science,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/ibm-data-science,IBM,4.6,Beginner,64362,660k students,P,NA,Coursera
Python, Programming for Everybody (Getting Started with Python),COURSE,https://www.coursera.org/learn/python,University of  Michigan,4.8,Mixed,168336,1.9M,P,NA,Coursera
Python, Crash Course on Python,COURSE,https://www.coursera.org/learn/python-crash-course,Google,4.8,Beginner,12257,240k students,P,NA,Coursera
Python, Python for Data Science and AI,COURSE,https://www.coursera.org/learn/python-for-applied-data-science-ai,IBM,4.6,Beginner,19017,230k students,P,NA,Coursera
Python, Python Basics,COURSE,https://www.coursera.org/learn/python-basics,University of Michigan,4.8,Beginner,10850,210k students,P,NA,Coursera
Python,IBM Data Analyst,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/ibm-data-analyst,IBM,4.6,Beginner,29222,370k students,P,NA,Coursera
Python,Statistics with Python,SPECIALIZATION,https://www.coursera.org/specializations/statistics-with-python,University of Michigan,4.6,Beginner,1915,75k students,P,NA,Coursera
Python,Django for Everybody,SPECIALIZATION,https://www.coursera.org/specializations/django,University of Michigan,4.7,Intermediate,739,34k students,P,NA,Coursera
Python,Introduction to Scripting in Python,SPECIALIZATION,https://www.coursera.org/specializations/introduction-scripting-in-python,Rice University,4.7,Beginner,3044,89k students,P,NA,Coursera
Python,Deep Learning,SPECIALIZATION,https://www.coursera.org/specializations/deep-learning,DeepLearning.AI,4.8,Intermediate,111950,930k students,P,NA,Coursera
Python,Python Programming: A Concise Introduction,COURSE,https://www.coursera.org/learn/python-programming-introduction,Wesleyan University,4.6,Beginner,3720,130k students,P,NA,Coursera
Python,Python Tutorial - Python for Beginners [Full Course],PLAYLIST,https://www.youtube.com/watch?v=_uQrJ0TkZlc,Programming with Mosh,NA,NA,NA,NA,u,14M,YouTube
Python,Python Tutorial For Beginners In Hindi (With Notes) ??,PLAYLIST,https://www.youtube.com/watch?v=gfDE2a7MKjA,CodeWithHarry,NA,NA,NA,NA,u,447k,YouTube
Python,Mastering Python - Everything You Need To Know To Become a Python Master,PLAYLIST,https://www.youtube.com/watch?v=p15xzjzR9j0,Tech With Tim,NA,NA,NA,NA,u,190k,YouTube
Python,Full Stack Python梐 comprehensive resource by multiple Python bloggers,BLOG,https://www.fullstackpython.com/blog.html,NA,NA,NA,NA,NA,u,NA,fullstackpython
Python,Doug Hellmann梤un by a prominent Python blogger,BLOG,https://doughellmann.com/blog/,NA,NA,NA,NA,NA,u,NA,doughellmann
ML,Mathematics for Machine Learning,SPECIALIZATION,https://www.coursera.org/specializations/mathematics-machine-learning,Imperial College London,4.6,Beginner,9678,NA,P,NA,Coursera
Java,Building Scalable Java Microservices with Spring Boot and Spring Cloud,COURSE,https://www.coursera.org/learn/google-cloud-java-spring,Google Cloud,4.3,Intermediate,687,NA,P,NA,Coursera
AI,Google IT Support,PROFESSIONAL CEFRTIFICATE,https://www.coursera.org/professional-certificates/google-it-support,Google,4.8,Beginner,68766,NA,P,NA,Coursera
Data Structures,Algorithms,SPECIALIZATION,https://www.coursera.org/specializations/algorithms,Stanford University,4.8,Intermediate,4640,NA,P,NA,Coursera
AI,Blockchain Scalability and its Foundations in Distributed Systems,COURSE,https://www.coursera.org/learn/blockchain-scalability,The University of Sydney,NA,Beginner,NA,NA,P,NA,Coursera
